DNS Performance Testing Tool
Version 2.14.0

[Status] Command line: dnsperf -s 10.2.0.2 -d /var/lib/mq-cake/dns/queries.txt -c 20 -l 10 -v -S 1 -W
[Status] Sending queries (to 10.2.0.2:53)
> NOERROR host0243.test.local A 0.060154
> NOERROR host0240.test.local A 0.061932
> NOERROR host0234.test.local A 0.066751
> NOERROR host0237.test.local A 0.064247
> NOERROR host0238.test.local A 0.064086
> NOERROR host0247.test.local A 0.059404
> NOERROR host0239.test.local A 0.064080
> NOERROR host0250.test.local A 0.059099
> NOERROR host0252.test.local A 0.059854
> NOERROR host0246.test.local A 0.064169
> NOERROR host0241.test.local A 0.066212
> NOERROR host0248.test.local A 0.063795
> NOERROR host0249.test.local A 0.064354
> NOERROR host0253.test.local A 0.062046
> NOERROR host0263.test.local A 0.057921
> NOERROR host0275.test.local A 0.052217
> NOERROR host0260.test.local A 0.059574
> NOERROR host0254.test.local A 0.062158
> NOERROR host0264.test.local A 0.058819
> NOERROR host0261.test.local A 0.060027
> NOERROR host0258.test.local A 0.061272
> NOERROR host0257.test.local A 0.062939
> NOERROR host0255.test.local A 0.063823
> NOERROR host0256.test.local A 0.063707
> NOERROR host0262.test.local A 0.061287
> NOERROR host0251.test.local A 0.069882
> NOERROR host0269.test.local A 0.057063
> NOERROR host0278.test.local A 0.055493
> NOERROR host0267.test.local A 0.060637
> NOERROR host0268.test.local A 0.059595
> NOERROR host0283.test.local A 0.054104
> NOERROR host0284.test.local A 0.054416
> NOERROR host0266.test.local A 0.062158
> NOERROR host0279.test.local A 0.056938
> NOERROR host0259.test.local A 0.067221
> NOERROR host0286.test.local A 0.053924
> NOERROR host0271.test.local A 0.061684
> NOERROR host0265.test.local A 0.065477
> NOERROR host0276.test.local A 0.061162
> NOERROR host0273.test.local A 0.063841
> NOERROR host0288.test.local A 0.056057
> NOERROR host0274.test.local A 0.063542
> NOERROR host0287.test.local A 0.057695
> NOERROR host0285.test.local A 0.058304
> NOERROR host0270.test.local A 0.066672
> NOERROR host0272.test.local A 0.066514
> NOERROR host0282.test.local A 0.062953
> NOERROR host0290.test.local A 0.059291
> NOERROR host0291.test.local A 0.059418
> NOERROR host0295.test.local A 0.057436
> NOERROR host0280.test.local A 0.066588
> NOERROR host0292.test.local A 0.059926
> NOERROR host0277.test.local A 0.068694
> NOERROR host0300.test.local A 0.057093
> NOERROR host0303.test.local A 0.056935
> NOERROR host0281.test.local A 0.069176
> NOERROR host0293.test.local A 0.062339
> NOERROR host0289.test.local A 0.065298
> NOERROR host0298.test.local A 0.061802
> NOERROR host0299.test.local A 0.061806
> NOERROR host0294.test.local A 0.063419
> NOERROR host0302.test.local A 0.059835
> NOERROR host0297.test.local A 0.062308
> NOERROR host0296.test.local A 0.064016
> NOERROR host0306.test.local A 0.060948
> NOERROR host0312.test.local A 0.054022
> NOERROR host0301.test.local A 0.063700
> NOERROR host0309.test.local A 0.057646
> NOERROR host0313.test.local A 0.055585
> NOERROR host0304.test.local A 0.064224
> NOERROR host0305.test.local A 0.064826
> NOERROR host0315.test.local A 0.056366
> NOERROR host0307.test.local A 0.061010
> NOERROR host0311.test.local A 0.058953
> NOERROR host0316.test.local A 0.058048
> NOERROR host0308.test.local A 0.063140
> NOERROR host0321.test.local A 0.057164
> NOERROR host0322.test.local A 0.055613
> NOERROR host0326.test.local A 0.054609
> NOERROR host0310.test.local A 0.067229
> NOERROR host0320.test.local A 0.059443
> NOERROR host0319.test.local A 0.061107
> NOERROR host0327.test.local A 0.057176
> NOERROR host0314.test.local A 0.065818
> NOERROR host0318.test.local A 0.063303
> NOERROR host0324.test.local A 0.059779
> NOERROR host0329.test.local A 0.057655
> NOERROR host0325.test.local A 0.061311
> NOERROR host0328.test.local A 0.060290
> NOERROR host0333.test.local A 0.058012
> NOERROR host0317.test.local A 0.070351
> NOERROR host0336.test.local A 0.057135
> NOERROR host0340.test.local A 0.055703
> NOERROR host0330.test.local A 0.064943
> NOERROR host0337.test.local A 0.059296
> NOERROR host0323.test.local A 0.069134
> NOERROR host0344.test.local A 0.056798
> NOERROR host0335.test.local A 0.062398
> NOERROR host0345.test.local A 0.057275
> NOERROR host0346.test.local A 0.057760
> NOERROR host0347.test.local A 0.055193
> NOERROR host0341.test.local A 0.060064
> NOERROR host0332.test.local A 0.066941
> NOERROR host0351.test.local A 0.055924
> NOERROR host0365.test.local A 0.050172
> NOERROR host0350.test.local A 0.057424
> NOERROR host0339.test.local A 0.064368
> NOERROR host0334.test.local A 0.068055
> NOERROR host0331.test.local A 0.069017
> NOERROR host0338.test.local A 0.064999
> NOERROR host0352.test.local A 0.057059
> NOERROR host0364.test.local A 0.051804
> NOERROR host0353.test.local A 0.056456
> NOERROR host0359.test.local A 0.056608
> NOERROR host0342.test.local A 0.066932
> NOERROR host0349.test.local A 0.063262
> NOERROR host0356.test.local A 0.058267
> NOERROR host0362.test.local A 0.056947
> NOERROR host0343.test.local A 0.068239
> NOERROR host0361.test.local A 0.057972
> NOERROR host0348.test.local A 0.066141
> NOERROR host0355.test.local A 0.061495
> NOERROR host0358.test.local A 0.061196
> NOERROR host0374.test.local A 0.053599
> NOERROR host0368.test.local A 0.056850
> NOERROR host0367.test.local A 0.057469
> NOERROR host0357.test.local A 0.063011
> NOERROR host0376.test.local A 0.055971
> NOERROR host0373.test.local A 0.058042
> NOERROR host0380.test.local A 0.053224
> NOERROR host0366.test.local A 0.060659
> NOERROR host0372.test.local A 0.059943
